node_id,node_x,node_y,from_segment_id,to_segment_id,from_original_edge_id,to_original_edge_id,from_fclass,to_fclass,from_name,to_name,from_ref,to_ref,from_bridge,to_bridge,from_tunnel,to_tunnel,from_layer,to_layer,turn_angle_deg,same_nonempty_name_or_ref,review_decision,formal_graph_repaired
54378,668512.436,3551546.876,289366039_000015,289366044_000004,289366039,289366044,pedestrian,footway,,,,,False,True,False,False,0.0,0.0,94.28110385998295,False,suspicious_grade_jump,False
54488,669881.495,3548898.646,290148744_000038,1279082430_000001,290148744,1279082430,footway,footway,环湖路,,,,False,True,False,False,0.0,1.0,68.09684227131534,False,suspicious_grade_jump,False
54488,669881.495,3548898.646,290148744_000039,1279082430_000001,290148744,1279082430,footway,footway,环湖路,,,,False,True,False,False,0.0,1.0,111.91152423746834,False,suspicious_grade_jump,False
55469,671697.063,3529514.378,300163631_000001,633558642_000021,300163631,633558642,steps,footway,,,,,True,False,False,False,1.0,0.0,89.04812991071974,False,suspicious_grade_jump,False
55469,671697.063,3529514.378,300163631_000001,633558642_000022,300163631,633558642,steps,footway,,,,,True,False,False,False,1.0,0.0,90.97589663935611,False,suspicious_grade_jump,False
55470,671696.413,3529525.501,300163631_000001,630100650_000012,300163631,630100650,steps,cycleway,,,,,True,False,False,False,1.0,0.0,91.14849016219763,False,suspicious_grade_jump,False
55470,671696.413,3529525.501,300163631_000001,630100650_000013,300163631,630100650,steps,cycleway,,,,,True,False,False,False,1.0,0.0,88.85758564863086,False,suspicious_grade_jump,False
55594,670808.561,3530090.414,300165418_000041,630149997_000001,300165418,630149997,unclassified,unclassified,南高西路,,,,False,True,False,False,0.0,1.0,91.8037517335716,False,suspicious_grade_jump,False
55594,670808.561,3530090.414,300165418_000042,630149997_000001,300165418,630149997,unclassified,unclassified,南高西路,,,,False,True,False,False,0.0,1.0,88.73957459470141,False,suspicious_grade_jump,False
55834,672117.459,3529978.663,300178536_000007,1056927533_000001,300178536,1056927533,unclassified,footway,,,,,False,False,False,False,0.0,-1.0,90.21250678773671,False,suspicious_grade_jump,False
